회사명,매출액(억원)_26H1,매출액(억원)_25H1,매출액 YoY(%),영업이익(억원)_26H1,영업이익(억원)_25H1,영업이익 YoY(%),당기순이익(억원)_26H1,당기순이익(억원)_25H1,당기순이익 YoY(%),영업이익률(%)_26H1,영업이익률(%)_25H1,비고
쌍용씨앤이,3978.9,4082.4,-2.5,404.3,514.1,-21.4,169.2,136.3,24.1,10.2,12.6,
한일시멘트,3709.5,4076.5,-9.0,615.6,475.0,29.6,483.6,240.1,101.4,16.6,11.7,
아세아시멘트,2777.1,2843.6,-2.3,235.6,405.6,-41.9,127.5,235.6,-45.9,8.5,14.3,
성신양회,5032.3,3353.6,50.1,189.4,224.5,-15.6,193.7,175.7,10.2,3.8,6.7,
